Text_ID,Source,Raw_Text,Sentiment,Entities,Topic
TXT_001,@spann,"Active crime scene on I-59/20 near Jeff/Tusc Co line. One dead, one injured; shooting involved. Police search in the area; traffic stopped",Negative,None,Assault / Violence
TXT_002,@telegramreports,Police have arrested a suspect in the Monday shooting at the basketball courts behind Word Tabernacle Church. http://t.co/X67i7jajij,Neutral,Monday (Date); Word Tabernacle Church (Organization),Assault / Violence
TXT_003,@RaniaKhalek,Lawsuit alleges Chicago Police strip-searched trio in public http://t.co/NGVCe42BUW via @suntimes,Neutral,Chicago (Location),Public Disturbance
TXT_004,@EricBoehlert,New NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene;  http://t.co/f96jCNY3wV #patriots #liberty,Neutral,New NRA Advice (Organization),Other
TXT_005,@thetimes,"Police failing to stamp out ‘honour crimes’, from domestic violence and forced marriage to FGM and murder http://t.co/SLuXLgbQbU",Negative,FGM (Organization),Other
TXT_006,@thetimes,"Today's front page: 
Police failing to stamp out ‘honour crimes’ http://t.co/SLuXLgbQbU http://t.co/w7ft9HW4Vx",Negative,Today (Date),Public Disturbance
TXT_007,@WGRZ,"Town of Tonawanda Police Search for Bank Robbery Suspect
http://t.co/4aJxs3Mv9G http://t.co/320mwHfuPl",Neutral,Town of Tonawanda Police Search for Bank Robbery Suspect (Organization),Theft / Robbery
TXT_008,@persecutionnews,"Due to lack of police protection, #Christians in #Pakistan become easy targets for crime and abuse. http://t.co/6Ld0Zs9h29 ^ws",Negative,Pakistan (Location),Assault / Violence
TXT_009,@timothywjohnson,New #NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene http://t.co/ldIDJ75Did,Neutral,New NRA Advice (Organization),Other
TXT_010,@NeillFranklin,Commish Batts makes a strong case for legalizing marijuana - to end the violent MJ trade in Baltimore. @baltimoresun http://t.co/A0TRUflAYl,Neutral,Commish Batts (Person); Baltimore (Location),Public Disturbance
TXT_011,@saramo,Police swoop on the homeless taking sleeping bags and food parcels in co-ordinated raids in Redbridge http://t.co/ZWmE54jhBP,Neutral,Redbridge (Location),Public Disturbance
TXT_012,@DemandAction,#NRAadvice: Don’t cooperate with police if your gun shows up at a crime scene: http://t.co/c96U10ed1l,Neutral,None,Public Disturbance
TXT_013,@DC_Police,#Police : Become a Special Constable and help cut crime http://t.co/taxFZeQ4Vx Devon Cornwall,Neutral,Devon Cornwall (Person),Other
TXT_014,@bradybuzz,BREAKING NEWS: Judge’s ruling favors officers in Badger Guns suit: http://t.co/QcQP0vLtd4,Neutral,Badger Guns (Organization),Assault / Violence
TXT_015,@MikePannett,Woman police sergeant dives in river to drag drowning woman to safety http://t.co/WKSZ2Obw1k via @MailOnline Just #crime fighters? Nope!!!,Negative,None,Other
TXT_016,@naushad1002,RT @blackmagicgal1: So AAP will continue to cry foul at Delhi police whenever a crime is reported rather than take responsibility like a go…,Negative,Delhi (Location),Other
TXT_017,@AAPRevolutionCG,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…,Negative,Crime/Lawlessness (Organization); Delhi (Location); Delhi Police (Person); blami (Person),Other
TXT_018,@snehashanti,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…,Negative,Crime/Lawlessness (Organization); Delhi (Location); Delhi Police (Person); blami (Person),Other
TXT_019,@DeepHarshdeep05,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…,Negative,Crime/Lawlessness (Organization); Delhi (Location); Delhi Police (Person); blami (Person),Other
TXT_020,@AshaAholic,RT @CherryFlavoredd: Cause there isn't any real crime anywhere.. RT @DrinkingTicket: Police around capstone dorm arresting kids looking dru…,Negative,None,Other
TXT_021,@VISHSAI,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…,Negative,Crime/Lawlessness (Organization); Delhi (Location); Delhi Police (Person); blami (Person),Other
TXT_022,@tenACEous_b1u,RT @CherryFlavoredd: Cause there isn't any real crime anywhere.. RT @DrinkingTicket: Police around capstone dorm arresting kids looking dru…,Negative,None,Other
TXT_023,@prklbrln,RT @DemandAction: #NRAadvice: Don’t cooperate with police if your gun shows up at a crime scene: http://t.co/c96U10ed1l,Neutral,None,Public Disturbance
