Incident_ID,Call_ID,Transcript,Extracted_Event,Location,Sentiment,Urgency_Score
AUD-001,C001,one,Emergency Report,Unknown Location,Calm,0.4
AUD-002,C002,This is the Blocopia Bank in 1302 with the Transnational Speedway call of art. Okay.,Crime/Assault,Blocopia Bank,Distressed,0.85
AUD-003,C003,Yeah? Yeah. Yeah. Yeah. Yeah. Yeah.,Emergency Report,Unknown Location,Calm,0.4
AUD-004,C004,"Yes, we're at the Nelson building and there's some men here with the bus to clean into the board meeting. Okay, you're at",Fire/Structure Incident,Nelson Building,Distressed,0.85
AUD-005,C005,"Listen, we're playing really bad at this. Okay, so get on our track, mate. People, you gotta track, mate, you b****.",Emergency Report,Unknown Location,Calm,0.4
AUD-006,C006,"They've switched completely off, They've switched completely off. They've switched completely off, They've switched completely off They've switched completely off, They've switched completely off",Emergency Report,Unknown Location,Calm,0.4
AUD-007,C007,"I'm locking in the field and I'm looking for a champ. You're walking in the field. OK, and you should just stop. OK, I'm going to try to find you.",Emergency Report,Unknown Location,Calm,0.4
AUD-008,C008,"Les gens en danger n' influencent pas le député de l'obnage pour la Presse. Les janvier vert,Сnogalie. Les dons de députéeane le berget sed fringe. Un servant constamment après la cour. Lesціatreursarus, le désormais dit s'il faut bien les bouts.",Emergency Report,Presse,Calm,0.4
AUD-009,C009,"And mostly, uh yeah, I haven't Muthler. We are shattering down here. I'll go over here.",Emergency Report,Unknown Location,Calm,0.4
AUD-010,C010,"maybe it is out there but is called a truck, with a truck too, proceed. Okay.",Emergency Report,Unknown Location,Calm,0.4
AUD-011,C011,"Yes, that's two sub-pro here that's the 8 on the ground. Okay, he did get it.",Emergency Report,Unknown Location,Calm,0.4
AUD-012,C012,"I mean, I'll wait behind the... ...and the fighters won't turn off.",Emergency Report,Unknown Location,Calm,0.4
AUD-013,C013,I'm here at the police station. I'm going to hold. Okay.,Emergency Report,Unknown Location,Calm,0.4
AUD-014,C014,"Yes, ma'am, I need to go out and leave quickly. Down the church. Change.",Emergency Report,Unknown Location,Calm,0.4
AUD-015,C015,"Ma'am, my cat is a person. I had to go find it.",Emergency Report,Unknown Location,Calm,0.4
AUD-016,C016,"Hello? Hello? Hello? Hello? Oh, that one was...",Emergency Report,Unknown Location,Calm,0.4
AUD-017,C017,"at 47 09 40th Avenue, and they find our edge plateau pad.",Emergency Report,Unknown Location,Calm,0.4
AUD-018,C018,I need somebody escorted out of my store right away. He's causing problems.,Crime/Assault,Unknown Location,Distressed,0.85
AUD-019,C019,Hello! Hello! Hello 911!,Emergency Report,Unknown Location,Calm,0.4
AUD-020,C020,"I got three people, the second people, thank you. They're taking kids? Yes sir.",Emergency Report,Unknown Location,Calm,0.4
AUD-021,C021,"Hey, um, they just woke into my house. They had guns. They told us to just be on the floor. They're splousers like",Crime/Assault,Unknown Location,Distressed,0.85
AUD-022,C022,"Um, I took some pills and um, the pills were really good mad, and um...",Emergency Report,Unknown Location,Calm,0.4
AUD-023,C023,"All right, well, the thing is, I was just flying with my buddy. You were sliding? I was just flying with my buddy.",Emergency Report,Unknown Location,Calm,0.4
AUD-024,C024,"If somebody stays with Diane, I'm home alone and he's not here. My daughter is here. If somebody is here, quick.",Emergency Report,Unknown Location,Calm,0.4
AUD-025,C025,"I don't have an emergency tube for this stuff, it just left my house just now.",Emergency Report,Unknown Location,Calm,0.4
AUD-026,C026,My house is on fire. I don't know how to sleep in and I'll go to someone doom and I'll,Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-027,C027,"Hi, my name is Maria. I'm calling because my teacher, Mr. Haines,",Emergency Report,Unknown Location,Calm,0.4
AUD-028,C028,"Yes, I have a gun and I don't it's from LA car loaded and something just got shot.",Crime/Assault,La,Distressed,0.85
AUD-029,C029,"I have a friend who's been drinking, I've been trying to help him since him too. He is now loading several weapons in a minute.",Emergency Report,Unknown Location,Calm,0.4
AUD-030,C030,"I'm a police at where the heck am I? 291 water counts, three to immediately. We just had bullets.",Emergency Report,Unknown Location,Calm,0.4
AUD-031,C031,I'm not sure my friend is called and basically told me she was going to kill herself and I think she probably will.,Crime/Assault,Unknown Location,Distressed,0.85
AUD-032,C032,"with the address, 750 south to 50 west.",Emergency Report,Unknown Location,Calm,0.4
AUD-033,C033,"emergency. Fire. Cutting wood. So, what's the location?",Fire/Structure Incident,Unknown Location,Distressed,0.85
AUD-034,C034,"It's not my, I mean, I haven't made it, I haven't possible, I haven't won overdose.",Emergency Report,Unknown Location,Calm,0.4
AUD-035,C035,called you like a pretending mums voice gets a little messed up,Emergency Report,Unknown Location,Calm,0.4
AUD-036,C036,"Yeah man, I'm a bit late today and we're in the road. We're going to see the gas.",Emergency Report,Unknown Location,Calm,0.4
AUD-037,C037,pumping the 29 and putting back thoseumps and I just ran as far as it's coming down the long lane,Emergency Report,Unknown Location,Calm,0.4
AUD-038,C038,"Now, I won't let you know that I'm sleepy. But I heard my doorbell ringing out.",Emergency Report,Unknown Location,Calm,0.4
AUD-039,C039,"Please come down here. What's your, what? I don't know that address. You're gonna have to be in the end of the answers.",Emergency Report,Unknown Location,Calm,0.4
AUD-040,C040,"What was your weekend of a playboy end down a month in park? A plane going down, months in park. We went down, it was...",Emergency Report,Unknown Location,Calm,0.4
AUD-041,C041,"Oh, somebody is coming. Somebody help. What's going on?",Emergency Report,Unknown Location,Calm,0.4
AUD-042,C042,Somebody was trying to rob us. She got tight right now. We're holding her down. Okay. What address you at?,Crime/Assault,Unknown Location,Distressed,0.85
AUD-043,C043,"Hello? Hello, I'm floating down the river in my car. Okay, what river are you on? I'm...",Traffic Accident,Unknown Location,Calm,0.4
AUD-044,C044,"Yes, I need an ambulance on hard stones. Okay, we're in the airport.",Emergency Report,Unknown Location,Calm,0.4
AUD-045,C045,"with that little boy missing. Have you had any reports on one? No, I'm sure haven't.",Emergency Report,Unknown Location,Calm,0.4
AUD-046,C046,"We need police. Let's find a bike by 5.23. Let's find on them, man.",Emergency Report,Unknown Location,Calm,0.4
AUD-047,C047,man please help me I'm a county road 900 to 600 will build the TV towers and,Emergency Report,Unknown Location,Calm,0.4
AUD-048,C048,"I'm working to please my, I'm with you right here at America. I don't need largest, but",Emergency Report,America,Calm,0.4
AUD-049,C049,I'm not a prospect but I need to have somebody go to my brother's house.,Emergency Report,Unknown Location,Calm,0.4
AUD-050,C050,"one one. Hey, my friend is having a feature. Where are you at?",Emergency Report,Unknown Location,Calm,0.4
AUD-051,C051,"Hello? Yes. We've just been robbed. Where? 220,000.",Crime/Assault,Unknown Location,Distressed,0.85
AUD-052,C052,"High Springs Community School, I called 911 a few minutes ago. We have, I heard several gunshots outside.",Crime/Assault,Springs Community School,Distressed,0.85
AUD-053,C053,"Yeah, I need an ambulance to 12 mark in South Reno. Okay, let's go on. Others.",Emergency Report,South Reno,Calm,0.4
AUD-054,C054,but I'm leavingMANUS to Tea & Athletic should be on call to you Apple的話 to orders I don't know if he has any details In Octital рав,Emergency Report,Tea & Athletic,Calm,0.4
AUD-055,C055,4980. I'm talking to my daughter right now. 4980. I'm talking to my daughter. Listen to me. Who is it? Three from the middle.,Emergency Report,Unknown Location,Calm,0.4
AUD-056,C056,It's been a demolishing of a house and there is a woman inside and we need someone to come,Emergency Report,Unknown Location,Calm,0.4
AUD-057,C057,"to help you. Hi, this is Latisha from store Big Five on Green Valley. I have a person that is robbing me.",Crime/Assault,Big Five,Distressed,0.85
AUD-058,C058,"Yes, ma'am, my neighbor just ran over so someone tried to kill her in her house. I don't know what.",Emergency Report,Unknown Location,Calm,0.4
AUD-059,C059,901My cleanse is beingught out. Political text decree in the most of the unusable.,Emergency Report,Unknown Location,Calm,0.4
AUD-060,C060,"Yeah, I've got kind of like a knife. My father don't leave a little bit of air. He's 79 years old.",Emergency Report,Unknown Location,Calm,0.4
AUD-061,C061,My husband is up in the attic and he's not responding.,Emergency Report,Unknown Location,Calm,0.4
AUD-062,C062,"I need to report a murder. Okay, where is that? 157 red-",Emergency Report,Unknown Location,Calm,0.4
AUD-063,C063,"Yeah, it's very much right there in the back. I just think I just found out where you are.",Emergency Report,Unknown Location,Calm,0.4
AUD-064,C064,I'm Joan Pearson and I just killed two people.,Emergency Report,Unknown Location,Calm,0.4
AUD-065,C065,"Hey, I told you some rally. We've got a medical aburge that 4500",Emergency Report,Unknown Location,Calm,0.4
AUD-066,C066,I just got back from work. From Target. I'm at 330.,Emergency Report,Target,Calm,0.4
AUD-067,C067,"Yes, we need an ambulance. We're at Westport Shopping Center right outside.",Emergency Report,Westport Shopping Center,Calm,0.4
AUD-068,C068,"No, no, no! No, no! No, no!",Emergency Report,Unknown Location,Calm,0.4
AUD-069,C069,"Yes, excuse me, so some helicopter is came down. The helicopter came down.",Emergency Report,Unknown Location,Calm,0.4
AUD-070,C070,"Yes, helicopter just crashed. A helicopter just crashed? Yes, sir. I think we're about to get started.",Traffic Accident,Unknown Location,Calm,0.4
AUD-071,C071,"Good enough, Avenue. Someone is running around the neighborhood shooting a gun. Okay, they're in a car.",Crime/Assault,Avenue,Distressed,0.85
AUD-072,C072,"Hey, who's it? Sheriff's office can I help you? Yeah, who's this, Gendy? Who's it?",Emergency Report,Unknown Location,Calm,0.4
AUD-073,C073,"of your emergency. A month has spoken to my house and my time is taking. Please come hurry. Okay, what's your address?",Emergency Report,Unknown Location,Calm,0.4
AUD-074,C074,"Do I need any of them to please after or won't? Okay, you need a police officer? Yeah",Emergency Report,Unknown Location,Calm,0.4
AUD-075,C075,"Oh my God, I'm on third Avenue to wherever I'll track somebody just tried to jump on the train and sever her legs.",Emergency Report,Third Avenue,Calm,0.4
AUD-076,C076,"I hopped, there's a sitting on arm, yeah, like we're sitting. Sitting with, sitting there, I hopped, in the ass.",Emergency Report,Unknown Location,Calm,0.4
AUD-077,C077,obviously.,Emergency Report,Unknown Location,Calm,0.4
AUD-078,C078,I have just smothered my way.,Emergency Report,Unknown Location,Calm,0.4
AUD-079,C079,"We're on the boat right now. My friend says, got it by the shark. We have to make...",Emergency Report,Unknown Location,Calm,0.4
AUD-080,C080,"Yes, I got I just shot someone in my business on that 59 31",Emergency Report,Unknown Location,Calm,0.4
AUD-081,C081,"We got some shootings over here in Silbeach. Okay, where? The salon in the Maritala.",Emergency Report,Silbeach,Calm,0.4
AUD-082,C082,"I just killed someone, a hundred, about 40.",Emergency Report,Unknown Location,Calm,0.4
AUD-083,C083,"Okay, yes, Emily, Katie, and the traffic search. She's in the city of La Clacetta and her accelerators suspect she can't stop the vehicle.",Emergency Report,La Clacetta,Calm,0.4
AUD-084,C084,"I got a report of shooting. Okay, where? Lehigh Hansen for Minette.",Emergency Report,Minette,Calm,0.4
AUD-085,C085,"We need the police here. Okay, what's the address of the emergency? The other.",Emergency Report,Unknown Location,Calm,0.4
AUD-086,C086,"Okay, we've got a fire down here at the Route 7 right here at Abington.",Fire/Structure Incident,Route 7,Distressed,0.85
AUD-087,C087,I want to tell you what's happening first. I just killed my wife. There's no where you're at. What? Where you need to pull.,Emergency Report,Unknown Location,Calm,0.4
AUD-088,C088,"What do we say? What happened? I'm sorry, I'm sorry. I'm sorry.",Emergency Report,Unknown Location,Calm,0.4
AUD-089,C089,We have been shot at a house in South Mim2. We have three children and we leave somebody here now.,Emergency Report,South Mim2,Calm,0.4
AUD-090,C090,"You said, I instead come to concert say",Emergency Report,Unknown Location,Calm,0.4
