Incident_ID,Source,Source_Record_ID,Event,Location,Time,Severity_Score,Severity_Level,Details
AUD-001,Audio,C001,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: one
AUD-002,Audio,C002,Crime/Assault,Blocopia Bank,N/A,8.5,High,Sentiment: Distressed | Transcript: This is the Blocopia Bank in 1302 with the Transnational Speedway call of art. Okay.
AUD-003,Audio,C003,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: Yeah? Yeah. Yeah. Yeah. Yeah. Yeah.
AUD-004,Audio,C004,Fire/Structure Incident,Nelson Building,N/A,8.5,High,"Sentiment: Distressed | Transcript: Yes, we're at the Nelson building and there's some men here with the bus to clean into the board meeting. Okay, you're at"
AUD-005,Audio,C005,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Listen, we're playing really bad at this. Okay, so get on our track, mate. People, you gotta track, mate, you b****."
AUD-006,Audio,C006,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: They've switched completely off, They've switched completely off. They've switched completely off, They've switched completely off They've switched completely ..."
AUD-007,Audio,C007,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I'm locking in the field and I'm looking for a champ. You're walking in the field. OK, and you should just stop. OK, I'm going to try to find you."
AUD-008,Audio,C008,Emergency Report,Presse,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Les gens en danger n' influencent pas le député de l'obnage pour la Presse. Les janvier vert,Сnogalie. Les dons de députéeane le berget sed fringe. Un servant ..."
AUD-009,Audio,C009,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: And mostly, uh yeah, I haven't Muthler. We are shattering down here. I'll go over here."
AUD-010,Audio,C010,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: maybe it is out there but is called a truck, with a truck too, proceed. Okay."
AUD-011,Audio,C011,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yes, that's two sub-pro here that's the 8 on the ground. Okay, he did get it."
AUD-012,Audio,C012,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I mean, I'll wait behind the... ...and the fighters won't turn off."
AUD-013,Audio,C013,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: I'm here at the police station. I'm going to hold. Okay.
AUD-014,Audio,C014,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Yes, ma'am, I need to go out and leave quickly. Down the church. Change."
AUD-015,Audio,C015,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Ma'am, my cat is a person. I had to go find it."
AUD-016,Audio,C016,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Hello? Hello? Hello? Hello? Oh, that one was..."
AUD-017,Audio,C017,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: at 47 09 40th Avenue, and they find our edge plateau pad."
AUD-018,Audio,C018,Crime/Assault,N/A,N/A,8.5,High,Sentiment: Distressed | Transcript: I need somebody escorted out of my store right away. He's causing problems.
AUD-019,Audio,C019,Emergency Report,N/A,N/A,4.0,Medium,Sentiment: Calm | Transcript: Hello! Hello! Hello 911!
AUD-020,Audio,C020,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: I got three people, the second people, thank you. They're taking kids? Yes sir."
AUD-021,Audio,C021,Crime/Assault,N/A,N/A,8.5,High,"Sentiment: Distressed | Transcript: Hey, um, they just woke into my house. They had guns. They told us to just be on the floor. They're splousers like"
AUD-022,Audio,C022,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: Um, I took some pills and um, the pills were really good mad, and um..."
AUD-023,Audio,C023,Emergency Report,N/A,N/A,4.0,Medium,"Sentiment: Calm | Transcript: All right, well, the thing is, I was just flying with my buddy. You were sliding? I was just flying with my buddy."
